Accession_Name	Description	Synonyms	Availability	Shape	Size	Height	Width	Ribbing	Ground_Colour	Over_Colour	Over_Colour_P	Crunch	Flesh_Colour	Flowering	Picking	Russet	Crown	Coarseness
Roter Sauergrauech	A more highly coloured sport of Sauergrauech. Received by the National Fruit Trials in 1947 from Switzerland. Fruits have fine, soft, greenish white flesh with a slightly sweet, vinous, aromatic flavour.	Sauergrauech Rouge	Material available from the National Fruit Collection.	Oblong	medium	54.00	57.00	medium	Green yellow	Brown	striped		Greenish	5th May10% flowering, 9th MayFull (80%) flowering, 14th May90% petal fall	Early October	very low		fine
Roter Stettiner	Originated in Germany. First described in 1598 as Vineuse Rouge and first called Roter Stettiner in 1776. Fruits have firm, fine, greenish white flesh with a subacid, sweet flavour.	Ada-Apfel, Adam, Annaberger, Bamberger, Beitigheimer, Belle Hervey, Belle-Hervey, Berliner, Berliner Glas, Berliner Glasapfel, Berliner Glossapfel, Berliner Gross Apfel, Bietesheimer, Bietigheimer, Bietigheimer Red, Bietigheimer Roter, Bietigheimer Rouge, Blut Reinette, Blut-Reinette, Bodickheimer, Bodigheimer, Bolzen, Bolzenapfel, Botzen, Braun-Butter, Butter-Apfel, Calviller, Cervene stetinske, d'Adam, d'Annaberg, d'Hiver, de Hardi, de Jardi, de Jardy, de Paradis d'Hiver, de Rostock, de Seigneur d'Hiver, de Seigneur rouge, de Stettin, Eisenapfel, Eisern, Garten, Glas, Guly-Muly, Herren, Herrenapfel, Kack, Kaiserkrone, Kalvaruze, Kohl, Krasnaia scetina, Krasnava shchetina, Krautlander, Kreutlander, Kuchle, Mahler, Malapfel, Maler, Maler Apfel, Maler-Apfel, Malerapfel, Mat, Matapfel, Mela di Stettino Rossa, Mohrenstettiner, Paradies, Paradies Apfel, Podoliskoe krasnoe, Pomme de Fer Vineuse, Pomme Rouge de Stettin, Red Beitigheimer, Red Bietigheimer, Rohwiener, Rosen, Rosenapfel, Rossa di Stettino, Rostocker, Rot Apfel, Rotbacher, Rotbodemer, Rotbolg, Rotbreitling, Rote Reinette, Roter Asbacher, Roter Bamberger, Roter Bietigheimer, Roter Bodigheimer, Roter Calvill, Roter Glas, Roter Hart, Roter Hern Apfel, Roter Herren, Roter Herrnapfel, Roter Kaiser Apfel, Roter Kirsch, Roter Mark, Roter Rostocker, Roter Rubin, Roter Steinhurdlecher, Roter Wein, Roter Wiener, Roter Winter, Roter Zwiebel, Rothapfel, Rothe Hernapfel, Rothe Herrnapfel, Rothe Stettiner, Rother Bietigheimer, Rother Hern, Rother Herren, Rother Herrenapfel, Rother Kaiser, Rother Stettiner, Rother Zwiebel, Rother Zwiebelapfel, Rothvogel, Rotvogel, Rotwiener, Rouge de Stettin, Rubiner, Sauer, Sauerbreitling, Schuller, Schwer, Seiden, Seigneur, Seigneur Rouge, Shchetina, Shchetinka, Shtetin polskii, Shtettinskoe krasnoe, Spater Belichheimer, Spater Calville, Spater Calviller, Stetinske, Stetinske cervene, Stetinskoe Krasnoe, Stettin Rouge, Stettiner, Stettiner Rosenapfel, Stettiner Roter, Stettiner rother, Stettiner Rouge, Stetting Rouge, Strohmer, Stromer, Sztetyna czerwona, Torock-Balint alma, Torok Balint, Tragamoner, Turkischer Weinling, Vejlimek cerveny, Vejlimek chocholaty, Vineuse Rouge, Vineuse Rouge d'Hiver, Wiener-Apfel, Winter Sussapfel, Winter Wollenschlager, Winter-Apfel, Winter-Wollenschlager, Wintersuss, Wittlaboth, Zweibel Apfel, Zweibelapfel, Zwiebel, Zwiebel Apfel, Zwiebelapfel	Material available from the National Fruit Collection.	Globose	large	67.46	79.21	medium	Whitish green	Pink		crisp	Greenish	3rd May10% flowering, 8th MayFull (80%) flowering, 15th May90% petal fall	Late October	very low	weak-medium	fine
Rougemont	Availability		Material in the National Fruit Collection not currently available.	Flat globose	large	63.83	77.89	weak-medium	Green yellow	Red				27th April10% flowering, 30th AprilFull (80%) flowering, 9th May90% petal fall		high	strong	
Rouget (Cotes du Nord)	Availability		Material available from the National Fruit Collection.	Flat globose	medium				Whitish yellow	Red		crisp	White	8th May10% flowering, 13th MayFull (80%) flowering, 19th May90% petal fall	Late September		medium	
Rouget de Born	Originated in Lozere, France. Described in 1947. Fruits have fine, rather soft, greenish white flesh with a subacid flavour.	Double de Vilfort	Material available from the National Fruit Collection.	Flat	medium-large			strong	Green yellow	Orange	striped		Greenish	10th May10% flowering, 17th MayFull (80%) flowering, 25th May90% petal fall	Mid October			fine
Rough Pippin (Cornwall)	Originated in Somerset, England. In existence in 1884. Fruits have firm, rather dry flesh with an insipid flavour.		Material available from the National Fruit Collection.	Globose	large-very large	77.14	91.13	weak-medium	Green yellow	Pink				27th April10% flowering, 29th AprilFull (80%) flowering, 8th May90% petal fall	Late September	low-medium	medium	
Roundway Magnum Bonum	Raised by Mr Joy, gardener at Roundway Park, Devizes, Wiltshire, England. Received a First Class Certificate from the Royal Horticultural Society in 1864. Fruits have rather soft, somewhat coarse-textured flesh with a very sweet and pleasant flavour.	Magnum Bonum, Roundway's Magnum Bonum	Material available from the National Fruit Collection.	Truncate conical	large	63.00	76.00	medium	Green yellow	Brown	streaked		Greenish	7th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Early October			
Roxbury Russet	Originated in the early 1600s in Roxbury, Massachusetts. Fruits have firm, somewhat coarse, fairly tender flesh with a subacid flavour.	Belper Russet, Belpre Russet, Boston or Roxbury, Boston or Roxbury Russet, Boston Russet, English Russet, Hewe's Russet, Howe's Russet, Jusset, Manetta Russet, Mariett's Ruseet, Marietta Russet, Pitman's Russet, Pomme Russet, Putman, Putman Russet, Putman' Russet, Putman's Russet, Putnam Russet, Putnam Russet of Ohio, Reinette Rousse de Boston, Reinette von Roxbury, Renet Bostonskii, Rox, Rox Russet, Roxburg Russet, Roxbury, Roxbury Russeting, Ruginetta di Boston, Russet, Russete, Russeting, Schippen's Russet, Shippen's, Shippen's Russet, Shippeus Russet, Shippin's Russet, Sylvan Russet, Warner Russet, Warner's Russet	Material available from the National Fruit Collection.	Broad globose conical	medium			weak	Green	Brown			White	7th May10% flowering, 13th MayFull (80%) flowering, 21st May90% petal fall	Mid October	high-very high		coarse
Royal Blush	Availability		Material in the National Fruit Collection not currently available.	Globose conical	medium-large	64.00	78.90	weak	Green	Dark Red				""		low	weak	
Royal Gala	A more highly coloured clone of Gala. Discovered in 1971 by H.W. Ten Hove, New Zealand. Introduced in 1974 by D.W. McKenzie, Fruit Research Orchard, Havelock North, New Zealand. Fruits are sweet, crisp and juicy with an aromatic flavour.	Tenroy	Material in the National Fruit Collection not currently available.	Globose conical	medium			weak-medium						2nd May10% flowering, 5th MayFull (80%) flowering, 11th May90% petal fall	Early October		medium	
Royal Jubilee	Raised by Mr John Graham of Hounslow, Middlesex. First recorded in 1888. Introduced by G. Bunyard & Co., Maidstone in 1893. Fruits have firm, yellow flesh with a subacid flavour. Cooks well. Late flowering.	Graama iubileinoe, Graham, Graham Royal Jubilee, Graham' s Koenigin-Jubilaumsapfel, Graham's Jubilaumsapfel, Graham's Konigin, Graham's Royal Jubilee, Grahamovo, Grahams Jubilaum, Grahams Jubilaumsapfel, Grahams Jubilie apple, Grahams Konigin, Grahams Koniglicher Jubilaumsapfel, Grahams Koniglicher Jubliaums Apfel, Grahams Kungliga Jubilee, Grahams Royal Jubilee, Graima iubileinoe, Jubilaumsapfel, Jubilee, Konigin Jubilaumsapfel	Material available from the National Fruit Collection.	Narrow conical	medium	70.00	63.00	medium	Whitish yellow	Orange			Yellowish	16th May10% flowering, 22nd MayFull (80%) flowering, 29th May90% petal fall	Late September			medium-coarse
Royal Snow	Availability		Material available from the National Fruit Collection.	Flat	medium-large	53.50	70.50	very weak	Yellow	Red			Greenish	10th May10% flowering, 16th MayFull (80%) flowering, 24th May90% petal fall	Early October	very low		
Rozovoe iz Tartu (MM106)	Availability		Material available from the National Fruit Collection.	Broad globose conical	small			medium	Whitish yellow	Red		crisp	White	26th April10% flowering, 1st MayFull (80%) flowering, 10th May90% petal fall	Mid August	low	medium	
Rubens	Raised at the Horticultural Laboratory, Wageningen, Netherlands. Recorded in 1954 and introduced in 1955. Fruits have firm, fine flesh with a sweet flavour.		Material available from the National Fruit Collection.	Oblong	medium	54.00	57.00		Yellow	Red			Cream	6th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Early October	very low		fine
Rubin	Raised at the University of Agriculture, Prague, Czechoslovakia. Selected by O. Louda in 1960. Fruits are sweet, crisp and juicy.		Material in the National Fruit Collection not currently available.	Flat globose	large	61.56	75.64	absent	Whitish yellow	Orange			Cream	6th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Early October	low	absent	coarse
Rubinette	Raised in 1966 by Plant Breeder Walter Havenstein, Switzerland. Fruits are crisp and juicy with a good, aromatic flavour.	Rafzubin	Material in the National Fruit Collection not currently available.											27th April10% flowering, 1st MayFull (80%) flowering, 9th May90% petal fall	late september			
Rubinstar	Triploid. A more highly coloured clone of Jonagold which also matures one week earlier. Originated in 1980 at Gaiberg, Germany. Fruits have creamy white, fine-textured, juicy flesh with a sweet and good rich flavour.		Material in the National Fruit Collection not currently available.											21st April10% flowering, 23rd AprilFull (80%) flowering, 3rd May90% petal fall	late september			
Ruby (Seabrook)	Raised by W. Seabrook & Sons Ltd., Boreham, Essex. Received by the National Fruit Trials in 1936. Fruits have rather soft, creamy white with pink tinge flesh with a sweet flavour.		Material available from the National Fruit Collection.	Flat globose	medium			very weak	Whitish yellow	Red	striped		Cream	5th May10% flowering, 10th MayFull (80%) flowering, 18th May90% petal fall	Early September			
Ruby (Thorrington)	Raised by F.W. Thorrington, a retired London Customs Officer, Hornchurch, Essex. Received by the National Fruit Trials in 1925. Fruits have firm, sweet flesh with little flavour.		Material available from the National Fruit Collection.	Flat globose	medium	57.00	69.00		Green yellow	Brown	striped		Yellowish	6th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Early September	very low		coarse
Ruby Rome Beauty	A more highly coloured clone of Rome Beauty. Discovered in about 1912 by M.F. Hubbs, in Hall Orchard, Milton-Freewater, Oregon, USA. Introduced in 1928. Fruits have creamy white, rather coarse-textured, juicy flesh with little flavour.	Black Rome Beauty, Cherry Red Rome Beauty, Miller Ruby Rome, Ruby Red Rome, Ruby Rome	Material available from the National Fruit Collection.	Globose	medium-large			weak-medium	Whitish green	Red			Cream	12th May10% flowering, 18th MayFull (80%) flowering, 25th May90% petal fall	Mid October	very low	medium	
Runse	Availability		Material available from the National Fruit Collection.	Globose	medium-large			strong	Whitish yellow	Orange		crisp	Cream	8th May10% flowering, 13th MayFull (80%) flowering, 21st May90% petal fall	Late October	low	strong	coarse
Rushock Pearmain	Raised in about 1821 by Mr Charles Taylor, a blacksmith, at Rushock, Worcestershire. Fruits have creamy white, firm, slightly juicy flesh with a 'nutty' flavour.	Charles Pearmain, Charles' Pearmain, Charles's Pearmain, Rushcock Pearmain, Rushock, Rushout Pearmain, Rustock Pearmain	Material in the National Fruit Collection not currently available.	Oblong	medium	57.00	63.00		Yellow	Brown				""		high-very high		
Russet Lambourne	A russetted clone of Lord Lambourne. Received by the National Fruit Trials in 1971 from D.R. Atkins, Pulborough, West Sussex. Fruits have slightly coarse-textured, juicy flesh with a sweet and good aromatic flavour.		Material available from the National Fruit Collection.	Globose	small-medium			weak	Green yellow	Orange			Cream	6th May10% flowering, 10th MayFull (80%) flowering, 19th May90% petal fall	Mid September	high-very high	absent	
Russet Superb	A russetted clone of Laxton's Superb. Discovered in 1963 by K. Maclean, Crabtree Fruit Farm, Kingston Bagpuize, Abingdon, Berkshire. Fruits have firm, very juicy flesh with a sweet and refreshing flavour.		Material available from the National Fruit Collection.											9th May10% flowering, 14th MayFull (80%) flowering, 21st May90% petal fall	early october			
Ruzena Blahova	Availability		Material available from the National Fruit Collection.	Globose				weak	Green yellow	Orange		crisp	White	3rd May10% flowering, 8th MayFull (80%) flowering, 16th May90% petal fall	Mid October	low	weak	
S.T. Wright	Raised by J. Allgrove when employed by Veitch's nurseries. First recorded in 1913, in which year it received the Award of Merit from the Royal Horticultural Society. Fruits have firm, fine, creamy white flesh with an acid flavour.		Material available from the National Fruit Collection.	Globose conical	large	76.00	99.50	medium	Whitish yellow	Pink	streaked		Cream	7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Mid September	very low		fine
Sabaros	Availability		Material available from the National Fruit Collection.	Globose conical	large	61.58	74.78	weak-medium	Whitish yellow	Red		crisp	White	7th May10% flowering, 12th MayFull (80%) flowering, 22nd May90% petal fall	Late October	low	very weak	fine
Sacramentsappel	Raised at the Plant Breeding Institute, Wageningen, Netherlands. Received by the National Fruit Trials in 1955. Fruits have fine, tender, creamy white flesh with a subacid and slightly rich flavour.		Material available from the National Fruit Collection.	Truncate conical	medium-large			strong-very strong	Whitish yellow	Orange		crisp	White	22nd May10% flowering, 27th MayFull (80%) flowering, 4th June90% petal fall	Mid October	low	strong-very strong	fine
Saint Ailred	Raised in 1942 at Mount Saint Bernard Abbey, Coalville, Leicestershire. Fruits have rather soft flesh with a sweetish, aromatic flavour.		Material available from the National Fruit Collection.	Broad globose conical	medium	57.00	64.00		Whitish yellow	Orange	striped	crisp		7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Early September			
Saint Albans Pippin	Originated in Kent, England. Recorded in 1883. Fruits have fine, tender, yellowish flesh with a subacid flavour.	Saint Alban' s Pippin, Saint-Alban's Pippin, St. Alban's Pippin	Material available from the National Fruit Collection.	Flat	medium	50.50	60.00	absent	Green yellow	Red	streaked		Yellowish	2nd May10% flowering, 8th MayFull (80%) flowering, 15th May90% petal fall	Mid September	low		fine
